Total Contract Spending Trend,,,,,,,,,,Yearly Spending Trend & Annual Contract Volume,,,,
"Insights: Shows which departments consume the largest share of public funds, helping identify budget concentration.",,,,,,,,,,"Insight: Displays growth or decline in government spending over time and shows contract activity level, ensuring spending trends are not misinterpreted and useful for budget forecasting",,,,
,,,,,,,,,,,,,,
Department,SUM of Award Amount,COUNTA of Purchase Order (Contract) Number,,,,,,,,Start Date Year,SUM of Award Amount,COUNTA of Purchase Order (Contract) Number,,
BUSTLING SPACES LLC|10620086,"$75,000",,,,,,,,,,,,,
ALT SPACE CHICAGO|10615898,"$75,000",,,,,,,,,,,,,
ALLIANCECHICAGO|105477409X,"$75,000",,,,,,,,,,,,,
ADVOCATE HEALTH & HOSPITALS CORP|105465409L,"$75,000",,,,,,,,,,,,,
ABOUT FACE THEATRE COLLECTIVE|23409653M,"$75,000",,,,,,,,,,,,,
826CHI INC NFP|95301070A,"$75,000",,,,,,,,,,,,,
NORTH CENTER CHAMBER OF COMMER|CLEANED-UP|93265378L,"$74,778",,,,,,,,,,,,,
CHICAGO BALINESE GAMELAN|105467106E,"$74,000",,,,,,,,,,,,,
MERCK ANIMAL HEALTH|95663204H,"$73,600",,,,,,,,,,,,,
GREAT LAKES ACADEMY INC.|105464042X,"$73,000",,,,,,,,,,,,,
LAKEVIEW EAST CHAMBER OF COMMERCE|85240642X,"$72,876",,,,,,,,,,,,,
VINCENT R. WILLIAMS & ASSOCIATES P.C.|105519576A,"$72,000",,,,,,,,,,,,,
LIFESCORE FOUNDATION|105511251H,"$71,994",,,,,,,,,,,,,
"CHICAGO AUSTIN YOUTH TRAVEL ADVENTURES, INC.|105489213V","$71,994",,,,,,,,,,,,,
NILE LANSANA|105500764Z,"$71,000",,,,,,,,,,,,,
LEYDA LADY SOL GARCIA|105509742E,"$71,000",,,,,,,,,,,,,
U SELECT IT HOLDINGS LLC|10603470,"$70,875",,,,,,,,,,,,,
"ALPHA SPECIALTY SUPPLY, INC.|31312645X","$70,605",,,,,,,,,,,,,
WOODLAWN CHAMBER OF COMMERCE|105477747V,"$70,000",,,,,,,,,,,,,
VICTORIA MARTINEZ|105467701H,"$70,000",,,,,,,,,,,,,
LUMINARTS CULTURAL FOUNDATION|10603050,"$70,000",,,,,,,,,,,,,
CREATIVE CHICAGO REUSE EXCHANGE|105455358A,"$70,000",,,,,,,,,,,,,
CONTRACTOR ADVISORS BUSINESS DEVELOPMENT INC|95390556V,"$70,000",,,,,,,,,,,,,
ART INSTITUTE OF CHICAGO 01|85239549V,"$70,000",,,,,,,,,,,,,
"READY MADE STAFFING, INC.|10617085","$69,750",,,,,,,,,,,,,
AGILENT TECHNOLOGIES INC|94184809H,"$69,424",,,,,,,,,,,,,
COMMUNITY INVESTMENT CORP 01|93427784A,"$68,730",,,,,,,,,,,,,
CHICAGO CHINATOWN CHAMBER OF COMMERCE|97415467H,"$68,401",,,,,,,,,,,,,
"TS DESIGN STUDIO, INC.|10591040","$68,400",,,,,,,,,,,,,
NEW MUSIC CHICAGO|64930001E,"$68,000",,,,,,,,,,,,,
SNI SOLUTIONS INC|102684669X,"$66,250",,,,,,,,,,,,,
LEONARD SURYAJAYA|102506077T,"$66,000",,,,,,,,,,,,,
BARREL OF MONKEYS PRODUCTIONS|33663226X,"$65,527",,,,,,,,,,,,,
HAUSWIRTH LLC|105462101T,"$65,272",,,,,,,,,,,,,
STREET GLASS PRODUCTIONS|105466106Z,"$65,000",,,,,,,,,,,,,
STAGE 18|105467716Z,"$65,000",,,,,,,,,,,,,
SOUTH. SIDE COMMUNITY ARTS CENTER|3744424E,"$65,000",,,,,,,,,,,,,
SIGNATURE FLIGHT SUPPORT LLC|105491527E,"$65,000",,,,,,,,,,,,,
SERENDIPITY THEATRE COMPANY|94680911A,"$65,000",,,,,,,,,,,,,
LAWNDALE POP-UP SPOT|105477923E,"$65,000",,,,,,,,,,,,,
FUND FOR INNOVATIVE TV|64930258M,"$65,000",,,,,,,,,,,,,
"CHICAGO FILM ARCHIVES, NFP|34718321X","$65,000",,,,,,,,,,,,,
BETHEL NEW LIFE FOUNDATION DBA WEST SIDE FORWARD 01|105470043H,"$65,000",,,,,,,,,,,,,
STUART-DEAN OF ILLINOIS INC|9363150X,"$64,495",,,,,,,,,,,,,
AWAKENINGS FOUNDATION|102678911A,"$63,000",,,,,,,,,,,,,
WORKFORCE AND HUMAN DEVELOPMENT SERVICES DBA THE JOURNEY FORWARD|10617054,"$61,800",,,,,,,,,,,,,
HYDE PARK BEACH APARTMENTS|10613064,"$61,177",,,,,,,,,,,,,
RAY OF HOPE CENTER OF THE ARTS|68002523H,"$60,000",,,,,,,,,,,,,
LEAGUE OF CHICAGO THEATRES FOUNDATION|31308832Z,"$60,000",,,,,,,,,,,,,
JOEL HALL DANCERS & CENTER|105457048Z,"$60,000",,,,,,,,,,,,,
JEFFERSON PARK CHAMBER OF COMMERCE|CLEANED-UP|93796659E,"$60,000",,,,,,,,,,,,,
"GRANT THORNTON, LLP|21965196L","$60,000",,,,,,,,,,,,,
FREE STREET THEATER|105478072L,"$60,000",,,,,,,,,,,,,
ELASTIC ARTS FOUNDATION|31286393A,"$60,000",,,,,,,,,,,,,
CHICAGO CULTURAL ALLIANCE|94693060A,"$60,000",,,,,,,,,,,,,
LESTER & ROSALIE ANIXTER CENTER|94104524H,"$59,826",,,,,,,,,,,,,
KENNY CONSTRUCTION COMPANY|102534885L,"$59,800",,,,,,,,,,,,,
JARRELL WASHINGTON PARK LLC|10613065,"$58,791",,,,,,,,,,,,,
RAVENSWOOD CHAMBER OF COMMERCE|31314284M,"$58,474",,,,,,,,,,,,,
OH ART FOUNDATION|10603001,"$57,000",,,,,,,,,,,,,
SOFIA GABRIEL LLC|105511955L,"$55,000",,,,,,,,,,,,,
SIXTY INCHES FROM CENTER|102462061M,"$55,000",,,,,,,,,,,,,
POETRY CENTER OF CHICAGO|93285922H,"$55,000",,,,,,,,,,,,,
MUSIC IN URBAN SCHOOLS INSPIRING CHANGE|10617904,"$55,000",,,,,,,,,,,,,
JUNETEENTH FAMILY FESTIVAL|10610620,"$55,000",,,,,,,,,,,,,
JOHN WALT|105479440E,"$55,000",,,,,,,,,,,,,
HYDE PARK CHAMBER OF COMMERCE|93448776X,"$55,000",,,,,,,,,,,,,
FREE LUNCH ACADEMY|102459284T,"$55,000",,,,,,,,,,,,,
CHINESE AMERICAN MUSEUM OF CHICAGO|10603168,"$55,000",,,,,,,,,,,,,
6018 NORTH KENMORE AVENUE|98715590X,"$55,000",,,,,,,,,,,,,
PRAIRIE STATE LEGAL SERVICES|91268533H,"$54,482",,,,,,,,,,,,,
"KETCHUM MANUFACTURING CO., INC|31290079A","$53,340",,,,,,,,,,,,,
HEIDELBERG USA INC.|105469102E,"$52,699",,,,,,,,,,,,,
EDISON PARK CHAMBER OF COMM|87470413P,"$51,788",,,,,,,,,,,,,
SPIRAL HOLDING LLC|10616682,"$51,513",,,,,,,,,,,,,
RUBEN AGUIRRE|102467605H,"$51,000",,,,,,,,,,,,,
STREET SAMARITANS|10606036,"$50,384",,,,,,,,,,,,,
YVONNE GAIL BERMAS|10598086,"$50,000",,,,,,,,,,,,,
VS CREATIVE CONSULTING|10596475,"$50,000",,,,,,,,,,,,,
TOMPKINS PRINTING EQUIPMENT CO|31284669L,"$50,000",,,,,,,,,,,,,
THEATER WIT NFP|88849375H,"$50,000",,,,,,,,,,,,,
THE SOUTHWEST COLLECTIVE|105494018E,"$50,000",,,,,,,,,,,,,
THE CHICAGO HELP INITIATIVE INC|10595091,"$50,000",,,,,,,,,,,,,
ST. PAUL'S CATHOLIC CHURCH|31303196M,"$50,000",,,,,,,,,,,,,
SOUTHWEST CREATIVE STUDIO|10628193,"$50,000",,,,,,,,,,,,,
SKY PEOPLE ENTERTAINMENT LLC|105473864E,"$50,000",,,,,,,,,,,,,
SIMPLE GOOD|105457462E,"$50,000",,,,,,,,,,,,,
RED ORCHID THEATRE|31321646E,"$50,000",,,,,,,,,,,,,
RAVEN THEATRE COMPANY.|23266745T,"$50,000",,,,,,,,,,,,,
PROJECT EDUCATION PLUS|12330284M,"$50,000",,,,,,,,,,,,,
"OPERATION HOPE, INC.|105466476T","$50,000",,,,,,,,,,,,,
OLD TOWN MERCHANTS & RESIDENTS|90471475L,"$50,000",,,,,,,,,,,,,
MUNTU DANCE THEATRE OF CHICAGO|95106635E,"$50,000",,,,,,,,,,,,,
MIDWEST ACCESS COALITION|105519261A,"$50,000",,,,,,,,,,,,,
MERIT SCHOOL OF MUSIC|93428152H,"$50,000",,,,,,,,,,,,,
LINKEDGE COMMUNITY AGENCY LLC|10594923,"$50,000",,,,,,,,,,,,,
LET US MAKE MEN MENTORING|10593663,"$50,000",,,,,,,,,,,,,
LATINO ORGANIZATION OF THE SOUTHWEST|10233520,"$50,000",,,,,,,,,,,,,
KHECARI|105470376M,"$50,000",,,,,,,,,,,,,
KENNETH COOK JR|10625544,"$50,000",,,,,,,,,,,,,
JEFF ZIMMERMANN|102676890A,"$50,000",,,,,,,,,,,,,
HALO SECURITY GROUP LLC|10562968,"$50,000",,,,,,,,,,,,,
"GROW GREATER ENGLEWOOD, NFP|10588717","$50,000",,,,,,,,,,,,,
GLOBAL GIRLS INC.|93860062P,"$50,000",,,,,,,,,,,,,
FIRST FLOOR THEATER|102673628T,"$50,000",,,,,,,,,,,,,
"ENTRENUITY, INC|10614084","$50,000",,,,,,,,,,,,,
ENRICH CHICAGO|105455414Z,"$50,000",,,,,,,,,,,,,
CREATIVE NETWERK|10627561,"$50,000",,,,,,,,,,,,,
"COWAN, DEBAETS, ABRAHAMS & SHEPPARD LLP|10615387","$50,000",,,,,,,,,,,,,
CHRISTOPHER L. WOOTEN|10595288,"$50,000",,,,,,,,,,,,,
CHICAGO KIDS COMPANY|23235141Z,"$50,000",,,,,,,,,,,,,
CHICAGO DEFENDER CHARITIES INC|86655802E,"$50,000",,,,,,,,,,,,,
CHICAGO DANCE UNITED|102467426P,"$50,000",,,,,,,,,,,,,
BUILDING COMMUNITY FOUNDATIION|105473819T,"$50,000",,,,,,,,,,,,,
BANDWITH MUSIC|102652692A,"$50,000",,,,,,,,,,,,,
ASAD ALI JAFRI|10621173,"$50,000",,,,,,,,,,,,,
ARTHUR LOCKHART RESOURCE INSTITUTE|10555232,"$50,000",,,,,,,,,,,,,
ANIMATE STUDIO LLC|99782647H,"$50,000",,,,,,,,,,,,,
A LONG WALK HOME|10602621,"$50,000",,,,,,,,,,,,,
36SQUARED BUSINESS INCUBATOR|105469460M,"$50,000",,,,,,,,,,,,,
CROSSING BORDERS MUSIC COLLECTIVE|98694245E,"$49,000",,,,,,,,,,,,,
STERLING PRICE|105466456H,"$48,000",,,,,,,,,,,,,
DL INDEPENDENT SERVICE LLC|10596918,"$48,000",,,,,,,,,,,,,
CLINARD DANCE THEATRE|29300886Z,"$48,000",,,,,,,,,,,,,
BLAIR THOMAS & COMPANY|34667348H,"$47,500",,,,,,,,,,,,,
DAMON LAMAR REED|105461108E,"$47,000",,,,,,,,,,,,,
WICKER PARK BUCKTOWN CHAMBER OF COMMERCE|102489749E,"$45,000",,,,,,,,,,,,,
WATER PEOPLE THEATER GROUP|105467607V,"$45,000",,,,,,,,,,,,,
THE SOUTHWEST COLLECTIVE|10559333,"$45,000",,,,,,,,,,,,,
SHOPHIA'S CHOICE|105467026M,"$45,000",,,,,,,,,,,,,
PILSEN CENTER FOR CULTURAL AND CONTEMPORARY ARTS|10602674,"$45,000",,,,,,,,,,,,,
PERCEPTIONS THEATRE|10603140,"$45,000",,,,,,,,,,,,,
NORTH RIVER COMMISSION\LAWRENCE|31373659A,"$45,000",,,,,,,,,,,,,
HELL IN A HANDBAG PRODUCTIONS|10602994,"$45,000",,,,,,,,,,,,,
GENE SISKEL FILM CENTER|85246056E,"$45,000",,,,,,,,,,,,,
FRONT PORCH ARTS CENTER|10602404,"$45,000",,,,,,,,,,,,,
DR PEDRO ALBIZA CAMPOS PUERTO RICAN HIGH SCHOOL|10605310,"$45,000",,,,,,,,,,,,,
CRE8 SPACE L3C|10628091,"$45,000",,,,,,,,,,,,,
COURT THEATRE FUND|31310563H,"$45,000",,,,,,,,,,,,,
CIVICLAB|102458330E,"$45,000",,,,,,,,,,,,,
CHINESE MUTUAL AID ASSOCIATION INC.|3787854E,"$45,000",,,,,,,,,,,,,
CHICAGO CULTURAL ACCESSIBILITY CONSORTIUM|10603045,"$45,000",,,,,,,,,,,,,
BRIDGE TO FREEDOM|10605123,"$45,000",,,,,,,,,,,,,
BLUES HEAVEN FOUNDATION INC|86163640H,"$45,000",,,,,,,,,,,,,
AMERICAN BLUES THEATER|102659787X,"$45,000",,,,,,,,,,,,,
ABHIJEET RANE|102605539P,"$45,000",,,,,,,,,,,,,
ELEVATOR INSPECTION SERVICE COMPANY INC.|105458315P,"$44,473",,,,,,,,,,,,,
LUCKY PLUSH PRODUCTIONS|80647281L,"$44,000",,,,,,,,,,,,,
RED LINE SERVICE INSITUTE|10598085,"$43,000",,,,,,,,,,,,,
CHICAGO URBAN ART RETREAT CENTER|10611351,"$43,000",,,,,,,,,,,,,
ON THE REAL FILM INC.|10625110,"$42,800",,,,,,,,,,,,,
REINVETABILITY|102459398L,"$42,000",,,,,,,,,,,,,
BERNARD WILLIAMS|31294754T,"$42,000",,,,,,,,,,,,,
RYAN TOVA KATZ LLC|10625076,"$41,000",,,,,,,,,,,,,
"CHRISTOPHER GLASS SERVICES, INC.|10567522","$40,010",,,,,,,,,,,,,
WICKER PARK BUCKTOWN CHAMBER OF COMMERCE|95661352L,"$40,000",,,,,,,,,,,,,
VANDERCOOK COLLEGE OF MUSIC|47446114V,"$40,000",,,,,,,,,,,,,
UKRAINIAN INSTITUTE. OF MODERN ART|22235187L,"$40,000",,,,,,,,,,,,,
"UHURU SHULE COOPERATIVE, INC.|10605951","$40,000",,,,,,,,,,,,,
THE SEVEN THIRTY THEATRE|10618715,"$40,000",,,,,,,,,,,,,
THE OBSIDIAN COLLECTION ARCHIVES|10618316,"$40,000",,,,,,,,,,,,,
"THE BEAT BANK, LLC|10602725","$40,000",,,,,,,,,,,,,
SOUTH LOOP CHAMBER OF COMMERCE|31328632Z,"$40,000",,,,,,,,,,,,,
PORCHLIGHT MUSIC THEATRE|95291739P,"$40,000",,,,,,,,,,,,,
LAKEVIEW EAST CHAM OF COMMERCE|CLEANED-UP|91490615T,"$40,000",,,,,,,,,,,,,
JACKALOPE THEATRE CO.|102459408T,"$40,000",,,,,,,,,,,,,
IMAGINATION THEATER INC 01|93427960M,"$40,000",,,,,,,,,,,,,
HYDE PARK YOUTH SYMPHONY|31308696Z,"$40,000",,,,,,,,,,,,,
GLOBAL PUNGMUL INSTITUTE|102459771T,"$40,000",,,,,,,,,,,,,
GERBER/HART LIBRARY & ARCHIVES|93427872V,"$40,000",,,,,,,,,,,,,
FULCRUM POINT NEW MUSIC PROJECT.|33664090A,"$40,000",,,,,,,,,,,,,
CHICAGO MINORITY BUSINESS|31343225P,"$40,000",,,,,,,,,,,,,
CHICAGO INDEPENDENT RADIO PROJECT|94682436M,"$40,000",,,,,,,,,,,,,
CHICAGO GAY MEN'S CHORUS|29312724E,"$40,000",,,,,,,,,,,,,
CHICAGO DANCE HISTORY PROJECT|105456793Z,"$40,000",,,,,,,,,,,,,
HOOKED ON FISH INC.|10616466,"$39,998",,,,,,,,,,,,,
GREATER ENGLEWOOD CHAMBER FOUNDATION|105469729X,"$39,000",,,,,,,,,,,,,
YVETTE MAYORGA|105477284V,"$38,500",,,,,,,,,,,,,
ARAM HAN SIFUENTES|96090723E,"$38,500",,,,,,,,,,,,,
CHICAGO PIPE & BOILER COVER 01|102689231A,"$38,076",,,,,,,,,,,,,
CALCULATED GENIUS|10619265,"$38,000",,,,,,,,,,,,,
HANNA SACKS BAIS YAAKOV|10595273,"$37,064",,,,,,,,,,,,,
NATIONAL MUSEUM OF MEXICAN ART|CLEANED-UP|93221498P,"$37,000",,,,,,,,,,,,,
"JUAN & ONLY, LLC|105474158X","$37,000",,,,,,,,,,,,,
NXSTEP PRODUCTS|105463138E,"$36,663",,,,,,,,,,,,,
FITNESS FACTORY OUTLET|10232723,"$36,154",,,,,,,,,,,,,
MAYUMI LAKE|105477515V,"$36,000",,,,,,,,,,,,,
TRUE BELIEVERS COMMUNITY CONNECTIONS|105488245L,"$35,997",,,,,,,,,,,,,
CHICAGO LIGHTHOUSE FOR PEOPLE WHO ARE BLIND OR VISUALLY IMPAIRED|15345637T,"$35,997",,,,,,,,,,,,,
WOMEN MADE GALLERY|22750212H,"$35,000",,,,,,,,,,,,,
MEXICAN FOLKLORIC DANCE CO OF CHICAGO|31311090A,"$35,000",,,,,,,,,,,,,
MCHC-CHICAGO HOSPITAL COUNCIL|27475492A,"$35,000",,,,,,,,,,,,,
"LIFE LINE PRODUCTIONS, INC|22407523P","$35,000",,,,,,,,,,,,,
LESLIE GUY CONSULTANCY|10602479,"$35,000",,,,,,,,,,,,,
KAYLA MAHAFFEY LLC|10621683,"$35,000",,,,,,,,,,,,,
JAMES JANKOWIAK|102453521H,"$35,000",,,,,,,,,,,,,
HUONG NGO|105476355E,"$35,000",,,,,,,,,,,,,
GRACE HOUSING COMPLEX|10599350,"$35,000",,,,,,,,,,,,,
GLADSTONE PARK CHAMBER OF COMM.|93448784P,"$35,000",,,,,,,,,,,,,
CONSTRUCTION SERVICES OF ILLINOIS|10622780,"$35,000",,,,,,,,,,,,,
CHICAGO REWILDING SOCIETY|105496622V,"$35,000",,,,,,,,,,,,,
"CHICAGO COLLECTIONS CONSORTIUM, INC. NFP|94599884E","$35,000",,,,,,,,,,,,,
THE BLACK FIRE BRIGADE ORG|10555080,"$34,000",,,,,,,,,,,,,
GUISEPPA DICESARE C/O ENSEMBLE ESPANOL|105471037T,"$34,000",,,,,,,,,,,,,
CHICAGO EXECUTIVES MTM|105479380X,"$33,500",,,,,,,,,,,,,
"QUANTUM FAITH, NFP|10603423","$33,333",,,,,,,,,,,,,
OAKDALE CHRISTIAN ACADEMYCHURCH|22622140M,"$33,333",,,,,,,,,,,,,
RODRIGO LARA ZENDEJAS|105464402M,"$32,500",,,,,,,,,,,,,
SOHAM DANCE SPACE NFP|105477928T,"$31,000",,,,,,,,,,,,,
"ELEVATOR INSPECTION SERVICE COMPANY, LLC|105514987V","$30,587",,,,,,,,,,,,,
WOOD ST. COLLECTIVE|10628197,"$30,000",,,,,,,,,,,,,
"WINDY CITY PERFORMING ARTS,INC.|31311709L","$30,000",,,,,,,,,,,,,
VICARIOUS THEARTRE-BABES/BLADE|102459443Z,"$30,000",,,,,,,,,,,,,
U S MINORITY CONTRACTORS ASSOCIATION (USMCA)|102499516E,"$30,000",,,,,,,,,,,,,
TRUE BELIEVERS COMMUNITY CONNECTIONS|10547160,"$30,000",,,,,,,,,,,,,
THREE WALLS|34718291L,"$30,000",,,,,,,,,,,,,
THE WOODLAWN|10592977,"$30,000",,,,,,,,,,,,,
SOFT CAGE FILMS|105457402Z,"$30,000",,,,,,,,,,,,,
PROJECT DANZTHEATRE COMPANY|31328579P,"$30,000",,,,,,,,,,,,,
PRIDE FILMS & PLAYS|98694250H,"$30,000",,,,,,,,,,,,,
PALETTE & CHISEL ACADEMY OF FINE ARTS|22221117A,"$30,000",,,,,,,,,,,,,
ORIGINAL SIXTY FOURTH STREET BEACH|105478417A,"$30,000",,,,,,,,,,,,,
NORTHALSTED AREA MERCHANTS ASSOCIATION|105472313L,"$30,000",,,,,,,,,,,,,
NEW COVENANT CDC|105490538H,"$30,000",,,,,,,,,,,,,
NELLY AGASSI|105477159P,"$30,000",,,,,,,,,,,,,
NATIONAL VIETNAM VETERANS ART MUSEUM|22236633E,"$30,000",,,,,,,,,,,,,
NATIONAL CAMBODIAN HERITAGE MUSEUM & KILLING FIELDS MEMORIAL|105454306T,"$30,000",,,,,,,,,,,,,
MIDDLE EASTERN IMMIGRANT AND REFUGEE ALLIANCE|10602821,"$30,000",,,,,,,,,,,,,
LITTLE VILLAGE ENVIRONMENTAL J|87906225L,"$30,000",,,,,,,,,,,,,
LINCOLN PARK CHAMBER OF COMMERCE|105464123T,"$30,000",,,,,,,,,,,,,
INSTITUTO CERVANTES OF CHICAGO INC|70693952E,"$30,000",,,,,,,,,,,,,
HO ETSU TAIKO|10603000,"$30,000",,,,,,,,,,,,,
FRIENDS OF THE GAMELAN INC|98694278A,"$30,000",,,,,,,,,,,,,
DANCE CENTER OF COLUMBIA COLLEGE|1037890,"$30,000",,,,,,,,,,,,,
CONSTELLATION PERFORMING ARTS|10557889,"$30,000",,,,,,,,,,,,,
COMMUNITY FILM WORKSHOP OF CHICAGO|22196685E,"$30,000",,,,,,,,,,,,,
CITY LIT THEATER COMPANY|99541799H,"$30,000",,,,,,,,,,,,,
CHICAGO SCULPTURE INTERNATIONAL|10603154,"$30,000",,,,,,,,,,,,,
CHICAGO FRINGE OPERA|102653434A,"$30,000",,,,,,,,,,,,,
CHICAGO FILMMAKERS|28245372A,"$30,000",,,,,,,,,,,,,
CHICAGO DESIGN MUSEUM|10188779,"$30,000",,,,,,,,,,,,,
CHICAGO COMPOSERS ORCHESTRA|102459274M,"$30,000",,,,,,,,,,,,,
CABINET OF CURIOSITY|10596859,"$30,000",,,,,,,,,,,,,
BLACK GIRLS DANCE|10627557,"$30,000",,,,,,,,,,,,,
ART WORKS PROJECTS|10619495,"$30,000",,,,,,,,,,,,,
ART ON SEDGWICK|105467095V,"$30,000",,,,,,,,,,,,,
PROJECT ORG. & DESIGN STUDIO INC|47743842A,"$29,920",,,,,,,,,,,,,
STRATEGY FOR ACCESS FOUNDATION NFP|105479450L,"$29,000",,,,,,,,,,,,,
HAPPINESS CLUB|34712073P,"$29,000",,,,,,,,,,,,,
GUILD LITERACY COMPLEX|94609431P,"$29,000",,,,,,,,,,,,,
AYODELE DRUM & DANCE NFP|105478421T,"$29,000",,,,,,,,,,,,,
BENJAMIN L GAY|105456264Z,"$28,000",,,,,,,,,,,,,
ABJ COMMUNITY SERVICES INC|9698467Z,"$28,000",,,,,,,,,,,,,
"UNCLE FREDDY'S GALLERY, LLC|105511095H","$27,300",,,,,,,,,,,,,
YIN HE DANCE|102505396A,"$27,000",,,,,,,,,,,,,
DANCEWORKS CHICAGO INC NFP|94663835V,"$27,000",,,,,,,,,,,,,
NEIGHBORSCAPES NFP|102467979L,"$26,000",,,,,,,,,,,,,
MOUNT GREENWOOD COMMUNITY & BUSINESS ASSOCIATION|105478106M,"$26,000",,,,,,,,,,,,,
BALLET FOLKLORICO DE CHICAGO|105463226X,"$26,000",,,,,,,,,,,,,
HELEN E CEJTIN|10598908,"$25,480",,,,,,,,,,,,,
EAST SIDE ESPORTS|10601291,"$25,010",,,,,,,,,,,,,
WILLIAM GLASSPIEGEL|105477913Z,"$25,000",,,,,,,,,,,,,
WESTSIDE CULTURAL ALLIANCE|10596654,"$25,000",,,,,,,,,,,,,
VISCERAL DANCE CHICAGO|66631298A,"$25,000",,,,,,,,,,,,,
TOUCH GIFT FOUNDATION|10594990,"$25,000",,,,,,,,,,,,,
TOTALLY POSITIVE PRODUCTIONS|10603142,"$25,000",,,,,,,,,,,,,
STEEP THEATRE COMPANY|102459630T,"$25,000",,,,,,,,,,,,,
ST. FRANCIS BORGIA PARISH|10597667,"$25,000",,,,,,,,,,,,,
ST. CONSTANCE SCHOOL|10596118,"$25,000",,,,,,,,,,,,,
SHATTERED GLOBE THEATER|31318216P,"$25,000",,,,,,,,,,,,,
RIVENDELL THEATRE ENSEMBLE|31323655H,"$25,000",,,,,,,,,,,,,
REBIRTH GARMENTS LLC|10611409,"$25,000",,,,,,,,,,,,,
POLISH HIGHLANDERS ALLIANCE AMERICA|22366383V,"$25,000",,,,,,,,,,,,,
PAINT THE CITY|10592978,"$25,000",,,,,,,,,,,,,
OPENLANDS|93410144P,"$25,000",,,,,,,,,,,,,
NOTRE DAME WRESTLING CLUB|10601464,"$25,000",,,,,,,,,,,,,
NORWOOD PARK HISTORICAL SOCIETY|10598942,"$25,000",,,,,,,,,,,,,
NEW HOPE COMMUNITY FOOD PANTRY|10597828,"$25,000",,,,,,,,,,,,,
NEW ECLIPSE COMMUNITY ALLIANCE|105457860L,"$25,000",,,,,,,,,,,,,
LOGAN SQUARE CHAMBER OF COMM|99253649T,"$25,000",,,,,,,,,,,,,
LIT FEELINGS INC.|10605124,"$25,000",,,,,,,,,,,,,
"INURBAN STRATEGIES, LLC|105493994A","$25,000",,,,,,,,,,,,,
INTONATION MUSIC WORKSHOP|CLEANED-UP|99253661H,"$25,000",,,,,,,,,,,,,
ILLINOIS PUBLIC HEALTH INSTITUTE|94073642M,"$25,000",,,,,,,,,,,,,
HAIBAYO LLC|105477263H,"$25,000",,,,,,,,,,,,,
FRIENDS OF COMMUNITY PUBLIC ART|10623284,"$25,000",,,,,,,,,,,,,
ENTREPRENEURS ACADEMY|105509533X,"$25,000",,,,,,,,,,,,,
ENGLEWOOD BACK TO SCHOOL PARADE|10596855,"$25,000",,,,,,,,,,,,,
CHRIS PAPPAN|105455188M,"$25,000",,,,,,,,,,,,,
CHICAGO ARTS PARTNERSHIPS IN EDUCATION|93096927L,"$25,000",,,,,,,,,,,,,
CAROL G JOHNSON/WESTSIDE CULTURAL ALLIANCE|10596654,"$25,000",,,,,,,,,,,,,
BEBON OFFICE MACHINES|22276338L,"$25,000",,,,,,,,,,,,,
BEAT THE STREETS CHICAGO|10598087,"$25,000",,,,,,,,,,,,,
ASSOCIATION FOR ADVANCEMENT OF CREATIVE MUSICIANS|102459536E,"$25,000",,,,,,,,,,,,,
ARAB AMERICAN BUSINESS AND PROFESSIONAL ASSOCIATION|105509538L,"$25,000",,,,,,,,,,,,,
ACADEMY OF SCHOLASTIC|93944609T,"$25,000",,,,,,,,,,,,,
ALL-TECH DECORATING CO.|23163963M,"$24,900",,,,,,,,,,,,,
ONE NORTHSIDE|10593152,"$24,535",,,,,,,,,,,,,
CHICAGO YOUTH FOUNDATION|10618683,"$24,460",,,,,,,,,,,,,
SUPERVOID LLC|10593573,"$23,000",,,,,,,,,,,,,
C21 WOMEN'S ENSEMBLE|10603002,"$23,000",,,,,,,,,,,,,
GREEN START MOVEMENT NFP|93176205A,"$22,500",,,,,,,,,,,,,
"ABEST SCALE CO., INC.|105518493X","$22,300",,,,,,,,,,,,,
REFUGEE ACTION NETWORK|10597206,"$22,000",,,,,,,,,,,,,
JENNIFER KENDLER|105476496E,"$22,000",,,,,,,,,,,,,
HP SKATE MEETUP L3C|10628101,"$22,000",,,,,,,,,,,,,
PAUL D'AMATO|102691412M,"$21,635",,,,,,,,,,,,,
YVES F. SMIERCIAK|105475134H,"$21,000",,,,,,,,,,,,,
VICTORIA ALVAREZ|105475540M,"$21,000",,,,,,,,,,,,,
CECIL MCDONALD JR.|31350876L,"$21,000",,,,,,,,,,,,,
EARLY CHILD CARE SERVICES INC|102703547L,"$20,094",,,,,,,,,,,,,
WORLD MUSIC FOUNDATION|105467676A,"$20,000",,,,,,,,,,,,,
WHOLISTIC ALLIANCE|10593662,"$20,000",,,,,,,,,,,,,
UNITED AFRICAN ORGANIZATION|105470886E,"$20,000",,,,,,,,,,,,,
THE PAPER MACHETE SHOW INC. NFP|10618315,"$20,000",,,,,,,,,,,,,
TELLIN' TALES THEATRE|31324359P,"$20,000",,,,,,,,,,,,,
SUITE LITTLE FEET INC|102668410L,"$20,000",,,,,,,,,,,,,
STRAWDOG THEATRE COMPANY|23385826H,"$20,000",,,,,,,,,,,,,
STORY THEATRE|105467612M,"$20,000",,,,,,,,,,,,,
ST. ROBERT BELLARMINE SCHOOL|10600467,"$20,000",,,,,,,,,,,,,
SELDOMS|95370125A,"$20,000",,,,,,,,,,,,,
