,Purchase Order Description,Purchase Order (Contract) Number,Revision Number,Specification Number,Contract Type,Start Date,End Date,Approval Date,Department,Vendor Name,Vendor ID,Address 1,Address 2,City,State,Zip,Award Amount,Procurement Type,Contract PDF
5468,"Grant Agreement, IAP",248046,0,1285243,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/07/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,Maya Horton,10616405,2163 W. Touhy Ave.,,CHICAGO,IL,60645,"$6,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={E0CD538F-0000-CC1E-A688-537C8A5199C3}
5469,"Grant Agreement, IAP",248106,0,1285267,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/07/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,JASON HOWARD,102605493A,4515 N MALDEN ST # 3A,,CHICAGO,IL,60640-6230,"$6,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={30D5538F-0000-C216-A332-A05C1D1891A3}
5470,"Grant Agreement, IAP",248087,0,1285246,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/07/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,Jerrell Henderson,10615962,"830 W. Bradley Place, #3S",,CHICAGO,IL,60613,"$6,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={A0CE538F-0000-CC14-8956-44D83F20E6FD}
5471,"Grant Agreement, IAP",248095,0,1285257,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/07/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,DIANA HINOJOSA,94594006T,7152 S TROY ST,,CHICAGO,IL,60629,"$6,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={80D2538F-0000-CD1A-9BBB-D9CF5D98B9BD}
5472,"Grant Agreement, IAP",248099,0,1285262,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/07/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,Charles Honeywood,10615967,8129 S. State Street,,CHICAGO,IL,60619,"$6,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={D0D3538F-0000-C41F-B0CC-89AC3555E8F1}
5473,"Grant Agreement, CARP",248091,0,1285251,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/07/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,NATYA DANCE COMPANY,31322713P,FINE ARTS BLDG  #725,410 S MICHIGAN AVE,CHICAGO,IL,60605-1387,"$75,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={C0D0538F-0000-C01D-A5AB-D95E2D7FE581}
5474,"Grant Agreement, IAP",248044,0,1285242,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/07/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,Amina Dreessen,10617488,5405 S. Ingleside Ave.,,Chicago,IL,60615,"$6,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={00CD538F-0000-C116-A12F-44E6EEAAF04A}
5475,"Grant Agreement, IAP",248096,0,1285259,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/07/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,Kevin Weil,10616787,"958 N. Hoyne Ave., Apt. 3R",,CHICAGO,IL,60622,"$5,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={30D3538F-0000-C011-84CC-CAAB4B0CCC79}
5476,"Grant Agreement, IAP",248089,0,1285250,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/07/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,Adrian Davis,10615858,"1020 S. Wabash Ave., Apt. 6B",,CHICAGO,IL,60605,"$6,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={00D0538F-0000-CE17-9187-D8F2351D632B}
5477,DFSS-IDOA-SS-HDM:,174551,2,1235987,DELEGATE AGENCY,10/01/2021,09/30/2024,11/07/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"OPEN KITCHENS, INC.",105458663T,2121 S RACINE AVE,,CHICAGO,IL,60608,"$15,000,000.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={90C0B48B-0000-C411-82A1-9937A3387BAD}
5478,"Grant Agreement, IAP",248088,0,1285247,COMPTROLLER-OTHER,01/01/2023,12/31/2024,11/07/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,KHOSRO A. BEIK,97366347X,1756 W NEWPORT AVE,,CHICAGO,IL,60657,"$6,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={50CF538F-0000-CA17-A94F-A54BDF55A281}
5479,JANITORIAL SUPPLIES - GROUP Z,41709,5,129464,COMMODITIES,07/15/2016,07/14/2024,11/06/2023,DEPT OF ASSETS INFORMATION AND SERVICES,"B & L DISTRIBUTORS, INC.",31308905M,PO BOX 295,,,IL,60501,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={00D2AF8B-0000-CA17-B354-01BA1C1F8130}
5480,"Professional Design Engineering Services For Groups 2 & 3 Phase I And II Task
Order Services, Groups - 2: Structures (Movable), 3: Roadway",223989,0,1204697,ARCH/ENGINEERING,11/01/2023,10/31/2028,11/06/2023,CHICAGO DEPARTMENT OF TRANSPORTATION,ALFRED BENESCH & CO,102637610A,35 W WACKER DR,,CHICAGO,IL,60601,"$10,000,000.00",RFQ,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={10EC1B8C-0000-C111-B632-3696D0A5FA2A}
5481,"JANITORIAL SUPPLIES - GROUPS AA, D, GG, II, Q",41708,13,129464,COMMODITIES,07/15/2016,07/14/2024,11/06/2023,DEPT OF ASSETS INFORMATION AND SERVICES,AZTEC SUPPLY CORPORATION,99253653P,5024 W 67TH ST,,BEDFORD PARK,IL,60638,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={60D1AF8B-0000-CD14-9482-A6CC464AC4DD}
5482,Laundry Services for Various Locations,241672,0,1263310,WORK SERVICES / FACILITIES MAINT.,11/03/2023,11/03/2026,11/06/2023,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,"LAUNDRY OPS, LLC",105499294P,5926 S KEDZIE AVE,,CHICAGO,IL,60629,"$2,755,920.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={E066AA8B-0000-CB10-9C5A-2CE838F8F008}
5483,CDPH-CONTACT-TRACING: PO 241846 UNIVERSITY OF ILLINOIS MEDICAL CENTER,241846,0,1210363,DELEGATE AGENCY,08/01/2023,07/31/2024,11/06/2023,,BOARD OF TRUSTEES OF THE UNIVERSITY. OF ILLINOIS,102485369L,GRANTS & CONTRACTS MC/696,840 S WOOD B-  39,CHICAGO,IL,60612,"$1,031,537.00",SOLE SOURCE,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={A07D5F8D-0000-C11A-A2BF-93CE4BAD4DA0}
5484,ACOUSTICAL CEILING TILES,66009,2,258001A,COMMODITIES,11/01/2017,10/31/2024,11/06/2023,DEPT OF ASSETS INFORMATION AND SERVICES,PRODUCTION DISTRIBUTION COMPANIES,93360965M,9511 S DORCHESTER EFT,,CHICAGO,IL,60628,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={A0D2AF8B-0000-CB1E-87AE-85EBE5FB51D2}
5485,CDPH-CONTACT-TRACING: PO 241834 LAWNDALE CHRISTIAN HLTH CNTR,241834,0,1209339,DELEGATE AGENCY,08/01/2023,07/31/2024,11/06/2023,,LAWNDALE CHRISTIAN HEALTH CENTER,22398712M,3860 W OGDEN AVE FL 1ST,,CHICAGO,IL,60623,"$250,247.00",SOLE SOURCE,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={70C63B8C-0000-C71A-8A07-4ADD99FCBFC6}
5486,NON-TARGET MARKET FINANCIAL SERVICES FOR VARIOUS SCOPE CATEGORIES: CATEGORY 5: TAX SUPPORT SERVICES,74264,2,148432,"PRO SERV CONSULTING $250,000orABOVE",11/01/2019,04/17/2027,11/03/2023,DEPARTMENT OF FINANCE,BLX GROUP LLC,95089556E,DEPT  #34461,PO BOX 39000,SAN FRANCISCO,CA,94139,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={8076A68B-0000-CA11-A5BC-1F77A880A5DA}
5487,Beach and Midway Sewer Improvement,127340,3,934441,CONSTRUCTION-GENERAL,,,11/03/2023,DEPARTMENT OF WATER MANAGEMENT,M.Q. SEWER & WATER CONTRACTORS,93441615E,C. D/B/A MQ CONSTRUCTION CO,4323 N CENTRAL AVE,CHICAGO,IL,60634,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B081178C-0000-C513-9636-E24F58BECECE}
5488,"MASTER TASK ORDER CONTRACT PROFESSIONAL ENGINEERING SERVICES HIGHWAY/ROADWAY DESIGN, (FOR TASK ORDERS) CATEGORIES 1-7: CATEGORY 5 AWARDED",32166,3,118890,ARCH/ENGINEERING,11/19/2015,09/01/2026,11/03/2023,CHICAGO DEPARTMENT OF TRANSPORTATION,"SPAAN TECH, INC.",68007838M,311 S WACKER DR # 2400,,CHICAGO,IL,60606,"$2,300,000.00",MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={7075A68B-0000-C61B-B787-FF7F7A27B942}
5489,DFSS-CORP-SS-SSC:,212447,1,1261894,DELEGATE AGENCY,01/01/2023,12/31/2024,11/03/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"ALIVIO MEDICAL CENTER,INC",3630259Z,2355 S WESTERN AVE # 1,,CHICAGO,IL,60608,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={10339A8E-0000-C817-8E78-AD01D183A295}
5490,NON-TARGET MARKET FINANCIAL SERVICES: CATEGORY 1: FINANCIAL MANAGEMENT; CATEGORY 2: AUDIT & ATTESTATION; CATEGORY 4: ACCOUNTING; CATEGORY 5: TAX SUPPORT; CATEGORY 6: BENEFITS CONSULTING; CATEGORY 7: COST-BENEFIT ANALYSES,74269,2,148432,"PRO SERV CONSULTING $250,000orABOVE",03/10/2020,04/17/2027,11/03/2023,DEPARTMENT OF FINANCE,CROWE LLP,102676096X,PO BOX 71570,,CHICAGO,IL,60694-1570,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={7074A68B-0000-CA13-9382-B8144A6CA3D7}
5491,"ENVIRONMENTAL ASSESSMENT, ENGINEERING & ECOLOGICAL SERVICES, CATEGORIES 2, 6 & 8 - TASK ORDER SERVICES",184535,0,1201184,ARCH/ENGINEERING,11/01/2023,01/25/2028,11/03/2023,DEPT OF ASSETS INFORMATION AND SERVICES,SMITHGROUPJJR INC,102549933L,35 E WACKER DR STE 900,,CHICAGO,IL,60601,"$3,000,000.00",MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={F065AA8B-0000-C41D-99E2-111ACBF76D0D}
5492,RENTAL OF STAGE LIGHTING EQUIPMENT FOR CITY FESTIVALS,80313,3,173733,WORK SERVICES / FACILITIES MAINT.,08/06/2018,02/02/2024,11/03/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,TECHNOTRIX INC,97940711V,1175 CENTRAL AVE BLDG 4,,UNIVERSITY PARK,IL,60484,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={9046C98B-0000-C31F-B077-198D76C1EA72}
5493,"MASTER TASK ORDER CONTRACT
PROFESSIONAL DESIGN ENGINEERING SERVICES PHASE I AND II TASK ORDER
SERVICES - GROUP 3: ROADWAY AND GROUP 4: TRAFFIC SIGNALS AND
ROADWAY LIGHTING",224002,0,1204697,ARCH/ENGINEERING,11/01/2023,10/31/2028,11/03/2023,CHICAGO DEPARTMENT OF TRANSPORTATION,"SINGH & ASSOCIATES, INC.",105472154A,230 W MONROE ST STE 1400,,CHICAGO,IL,60606,"$10,000,000.00",RFQ,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={70EB1B8C-0000-CE1C-8561-701E1F470ED4}
5494,"VARIOUS OILS, GREASE & LUBRICANTS",95359,2,366636A,COMMODITIES,03/18/2019,03/17/2025,11/03/2023,DEPARTMENT OF WATER MANAGEMENT,"TRUCK TIRE SALES, INC.",15112357E,PO BOX 09123,,CHICAGO,IL,60609,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B0A4AA8B-0000-C616-8350-D29FA4552430}
5495,EXPERT PROFESSIONAL INTEGRITY MONITORING SERVICES. CONTRACT TRANSFER FROM PO 129569.,247183,0,938807,PRO SERV-AVIATION,06/19/2020,06/18/2025,11/03/2023,,COHNREZNICK LLP,105467792E,200 S WACKER DR STE 2600,,CHICAGO,IL,60606,"$3,199,504.30",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={F0DC638C-0000-C61A-BECF-5F7F48BB79B7}
5496,"VARIOUS FURNITURE, ACCESSORIES AND RELATED FURNITURE RECONFIGURATION, REPAIR AND STORAGE SERVICES - GROUPS 2, 6, 11, 17, 21, 30, 35",46810,8,134471,COMMODITIES,11/01/2016,10/31/2024,11/03/2023,DEPT OF ASSETS INFORMATION AND SERVICES,MIDWEST OFFICE INTERIORS,105470995L,10330 ARGONNE WOODS DR,,WOODRIDGE,IL,60517,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={F045C98B-0000-CF11-AC4B-307859AAFF6E}
5497,NON-TARGET MARKET FINANCIAL SERVICES- CATEGORY 1: FINANCIAL MANAGEMENT CONSULTING SERVICES; CATEGORY 2:  AUDIT AND ATTESTATION SERVICES; CATEGORY 4: ACCOUNTING SERVICES,74274,2,148432,"PRO SERV CONSULTING $250,000orABOVE",04/17/2019,04/17/2027,11/03/2023,DEPARTMENT OF FINANCE,PRADO & RENTERIA CPA'S,93682996X,"GP&R GROUP, CPA'S PROF CORP.",1837 S MICHIGAN AVENUE EFT,CHICAGO,IL,60616,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={3077A68B-0000-C01E-B025-72BDCE9E4571}
5498,DFSS-CORP-SS-SSC:,212459,1,1261894,DELEGATE AGENCY,01/01/2023,12/31/2024,11/03/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,CENTERS FOR NEW HORIZONS 01,15427701H,4150 S KING DRIVE EFT,,CHICAGO,IL,60653,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={5014438E-0000-CF19-A539-0E8246E9033D}
5499,"1195979: DISPENSING OF COMPRESSED NATURAL GAS (CNG) TO CITY VEHICLES AT CONTRACTOR 
OWNED FUELING STATION(S)",151974,1,1195979,COMMODITIES,04/26/2021,04/25/2025,11/03/2023,DEPT OF ASSETS INFORMATION AND SERVICES,"OZINGA ENERGY, LLC",102640958T,19001 OLD LAGRANGE RD,,MOKENA,IL,60448,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={E02B7A8D-0000-CC16-B123-A26A218C79B3}
5500,NON-TARGET MARKET FINANCIAL SERVICES- CATEGORY 8: RISK MANAGEMENT CONSULTING,98044,2,148432,"PRO SERV CONSULTING $250,000orABOVE",04/17/2019,04/17/2027,11/03/2023,DEPARTMENT OF FINANCE,"RISK MANAGEMENT & INFO SYSTEMS, INC.",22439062P,151 N MICHIGAN AVE,APT 916,CHICAGO,IL,60601,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={5072A68B-0000-C818-9229-88A6C950A1DC}
5501,DFSS-IDOA-SS-HWP:,210126,1,1230033,DELEGATE AGENCY,10/01/2022,09/30/2024,11/03/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,RUSH UNIVERSITY MEDICAL CENTER,105470052L,1700 W VAN BUREN ST,,CHICAGO,IL,60612,"-$325,476.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={80C86B8D-0000-C319-80DE-0D7C2F2AB2B1}
5502,1116719: Jackson Park Mobility Improvements,177310,30,1116719,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,11/03/2023,CHICAGO DEPARTMENT OF TRANSPORTATION,"F.H. PASCHEN S.N. NIELSEN & ASSOCIATES, LLC",94387210X,5515 N EAST RIVER ROAD EFT,,CHICAGO,IL,60656,"$226,387.20",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={0080358C-0000-C71C-96E6-E7F1D927028F}
5503,"NON-TARGET MARKET COMPREHENSIVE CUSTODIAL SERVICES FOR ZONES 1, 2, AND 4 (REPLACES PO # 70888 ABM JANITORIAL SERVICES, NOT A NEW AWARD)",87516,4,311678,WORK SERVICES / FACILITIES MAINT.,02/14/2018,02/13/2025,11/03/2023,DEPT OF ASSETS INFORMATION AND SERVICES,"ABM INDUSTRY GROUPS, LLC",105459534H,180 N LA SALLE ST,,CHICAGO,IL,60601,"$20,045,325.10",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B0B6968B-0000-C01B-BA1E-3B971873F819}
5504,NON-TARGET MARKET FINANCIAL SERVICES FOR VARIOUS SCOPE CATEGORIES: CATEGORY 5: TAX SUPPORT SERVICES,74271,2,148432,"PRO SERV CONSULTING $250,000orABOVE",11/01/2019,04/17/2027,11/03/2023,DEPARTMENT OF FINANCE,ERNST & YOUNG LLP,31297477E,PO BOX 96550,,CHICAGO,IL,60693,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={6073A68B-0000-C215-8FE8-D6B610EAA1EB}
5505,DFSS-CORP-SS-SSC:,212527,2,1261894,DELEGATE AGENCY,01/01/2023,12/31/2024,11/03/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO,102484615A,1 E BANKS ST,,CHICAGO,IL,60670,$0.00,RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={30FA668E-0000-C115-9F58-3806035EE4A7}
5506,MUELLER TAPPING MACHINE PARTS,33030,6,128157,COMMODITIES,10/01/2015,09/29/2024,11/03/2023,DEPARTMENT OF WATER MANAGEMENT,"CHICAGO UNITED INDUSTRIES, LIMITED",105468708E,505 N LAKE SHORE DR,,CHICAGO,IL,60611,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={E072A68B-0000-C810-A14E-740F21877F0C}
5507,1218300: PLASTIC ACCESS PANEL DOORS,180648,1,1218300,COMMODITIES,02/18/2022,02/17/2025,11/03/2023,DEPARTMENT OF WATER MANAGEMENT,"CHICAGO UNITED INDUSTRIES, LIMITED",105468708E,505 N LAKE SHORE DR,,CHICAGO,IL,60611,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={E073A68B-0000-C915-9803-9EC80D2FE1C1}
5508,NON-TARGET MARKET FINANCIAL SERVICES- CATEGORY 3: ACTUARIAL SERVICES; CATEGORY 6: BENEFITS CONSULTING; CATEGORY 8: RISK MANAGEMENT CONSULTING,74262,2,148432,"PRO SERV CONSULTING $250,000orABOVE",04/17/2019,04/17/2027,11/03/2023,DEPARTMENT OF FINANCE,AON RISK SERVICES CENTRAL INC,95245256P,PO BOX 92380,,CHICAGO,IL,60675-2380,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={E074A68B-0000-CD1D-B0E9-D134DBE965E4}
5509,NON-TARGET MARKET FINANCIAL SERVICES- CATEGORY 1:  FINANCIAL MANAGEMENT CONSULTING SERVICES; CATEGORY 2:  AUDIT AND ATTESTATION SERVICES; CATEGORY 4: ACCOUNTING SERVICES,74263,2,148432,"PRO SERV CONSULTING $250,000orABOVE",04/17/2019,04/16/2027,11/03/2023,DEPARTMENT OF FINANCE,"BAKER TILLY VIRCHOW KRAUSE, LLP",86446974E,PO BOX 7398,PO BOX 7398,MADISON,WI,53707-7398,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={0076A68B-0000-CE1F-B417-52A9194DC8D3}
5510,NON-TARGET MARKET FINANCIAL SERVICES FOR VARIOUS SCOPE CATEGORIES: CATEGORY 3: ACTUARIAL SERVICES; CATEGORY 6: BENEFITS CONSULTING,74287,2,148432,"PRO SERV CONSULTING $250,000orABOVE",01/15/2020,04/17/2027,11/03/2023,DEPARTMENT OF FINANCE,SEGAL COMPANY(MIDWEST)INC.,21962060L,101 N WACKER DR,FL 5,CHICAGO,IL,60606,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={0071A68B-0000-C710-99E1-561762B50D57}
5511,DPD-ARP-CAP:,228085,2,1266292,DELEGATE AGENCY,05/01/2023,12/31/2023,11/03/2023,DEPARTMENT OF PLANNING AND DEVELOPMENT,CHICAGO LOOP ALLIANCE,43765932Z,36 S STATE ST,,CHICAGO,IL,60603,"$46,876.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={C0587D8C-0000-CA1F-94BA-2601AC9F81F4}
5512,1242723: INVEST SOUTH/ WEST AUSTIN: CHICAGO AVENUE IMPROVMENTS - AUSTIN BOULEVARD TO CENTRAL AVENUE,208284,3,1242723,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,11/03/2023,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,,CHICAGO,IL,60639,"$53,120.90",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={A096B48B-0000-CB1D-9C03-7E4F78537AB1}
5513,"MASTER CONSULTING AGREEMENT FOR EMERGENCY PLANNING, TRAINING AND SUPPORT SERVICES- CATEGORY 2: EMERGENCY RESPONSE AND PREPAREDNESS TRAINING",43120,1,125419,"PRO SERV CONSULTING $250,000orABOVE",05/18/2018,05/14/2027,11/03/2023,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,C2 TECHNOLOGIES INC,102587193V,1921 GALLOWS RD STE 1000,,VIENNA,VA,22182,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={30B7968B-0000-C618-A10E-029005BC5617}
5514,NON-TARGET MARKET FINANCIAL SERVICES FOR VARIOUS SCOPE CATEGORIES: CATEGORY 8: RISK MANAGEMENT CONSULTING,74286,2,148432,"PRO SERV CONSULTING $250,000orABOVE",10/14/2019,04/17/2027,11/03/2023,DEPARTMENT OF FINANCE,"RISK MANAGEMENT SOLUTIONS OF AMERICA, INC.",95235965T,309 W WASHINGTON ST,,CHICAGO,IL,60606,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={20C3968B-0000-C61F-9A9F-59095BD9C66B}
5515,"ENVIRONMENTAL RESPONSE SERVICES, CATEGORY 2: ASBESTOS REMOVAL, MAINTENANCE AND CLEAN UP",33718,7,124799,"PRO SERV CONSULTING $250,000orABOVE",07/06/2016,04/13/2024,11/03/2023,CHICAGO DEPARTMENT OF PUBLIC HEALTH,"LUSE ENVIRONMENTAL SERVICES, INC.",105459525E,3990 ENTERPRISE COURT EFT,,AURORA,IL,60504,$0.00,RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={C071A68B-0000-C51C-B43E-EBB5548F0AF0}
5516,"VARIOUS PLUMBING SUPPLIES (GROUPS 51, 81, & 86)",33467,4,128260A,COMMODITIES,11/24/2015,05/22/2024,11/03/2023,DEPT OF ASSETS INFORMATION AND SERVICES,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,3620558A,10307-10325 S MICHIGAN AVE,,CHICAGO,IL,60628,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={30D0AF8B-0000-C41E-9869-62B637CA8E2A}
5517,"MASTER TASK ORDER CONTRACT FOR CONSULTING SERVICES AGREEMENT FOR SURFACE TRANSPORTATION PLANNING STUDIES CATEGORIES 1-5- CATEGORIES AWARDED: 1,2,3,4,AND 5",38941,3,129543,ARCH/ENGINEERING,04/18/2017,08/29/2025,11/03/2023,CHICAGO DEPARTMENT OF TRANSPORTATION,"CAMBRIDGE SYSTEMATICS, INC.|CLEANED-UP",93558577Z,100 CAMBRIDGE PARK DRIVE EFT,,CAMBRIDGE,MA,,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={5063AA8B-0000-C516-9450-390F24FA85B7}
5518,"1245806: ISW SOUTH CHICAGO: COMMERCIAL AVENUE CORRIDOR IMPROVEMENTS, S. SOUTH CHICAGO AVE TO E. 90TH ST. (SBI-I)",207537,1,1245806,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,11/03/2023,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,,CHICAGO,IL,60639,"$527,800.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={D0B2208C-0000-CB1B-B5C3-14A5BA9C4B5E}
